Date,Open,High,Low,Close,Adj Close,Volume
1994-10-17,767.070007,767.929993,765.049988,765.780029,765.780029,290370000
1994-10-18,766.739990,767.419983,763.559998,764.809998,764.809998,308800000
1994-10-19,765.450012,771.190002,764.210022,770.619995,770.619995,343840000
1994-10-20,771.830017,772.539978,765.489990,768.239990,768.239990,356180000
1994-10-21,767.440002,767.440002,763.390015,765.380005,765.380005,354230000
1994-10-24,766.219971,767.190002,760.500000,761.210022,761.210022,283980000
1994-10-25,757.229980,758.369995,754.469971,758.260010,758.260010,292610000
1994-10-26,759.070007,763.239990,759.070007,763.239990,763.239990,317600000
1994-10-27,763.780029,767.489990,763.780029,767.469971,767.469971,315000000
1994-10-28,767.780029,776.150024,766.969971,776.150024,776.150024,378500000
1994-10-31,775.869995,778.809998,774.500000,777.489990,777.489990,313240000
1994-11-01,776.250000,776.250000,770.950012,772.190002,772.190002,318760000
1994-11-02,772.260010,776.859985,771.190002,771.820007,771.820007,360020000
1994-11-03,772.609985,773.530029,770.880005,772.099976,772.099976,311390000
1994-11-04,772.700012,773.510010,766.080017,766.080017,766.080017,280880000
1994-11-07,766.219971,766.219971,762.010010,762.309998,762.309998,246170000
1994-11-08,762.609985,767.640015,762.609985,767.539978,767.539978,298660000
1994-11-09,770.770020,774.400024,765.880005,767.250000,767.250000,311110000
1994-11-10,766.500000,768.760010,763.979980,764.380005,764.380005,267750000
1994-11-11,763.940002,765.130005,761.469971,762.119995,762.119995,273270000
1994-11-14,763.609985,768.179993,763.609985,768.140015,768.140015,263820000
1994-11-15,768.729980,771.780029,766.859985,769.020020,769.020020,320350000
1994-11-16,769.729980,770.900024,768.419983,769.640015,769.640015,309770000
1994-11-17,770.349976,771.059998,763.849976,765.840027,765.840027,351200000
1994-11-18,766.570007,767.409973,762.960022,764.669983,764.669983,303800000
1994-11-21,767.030029,768.000000,757.580017,757.739990,757.739990,302150000
1994-11-22,756.570007,756.570007,741.200012,741.210022,741.210022,353750000
1994-11-23,738.330017,738.330017,728.780029,736.700012,736.700012,346560000
1994-11-25,737.219971,742.570007,737.219971,742.520020,742.520020,98590000
1994-11-28,743.080017,746.210022,742.960022,745.729980,745.729980,239300000
1994-11-29,746.469971,751.700012,745.880005,751.479980,751.479980,305110000
1994-11-30,751.440002,754.289978,748.739990,750.320007,750.320007,325710000
1994-12-01,748.830017,749.200012,739.940002,740.609985,740.609985,275730000
1994-12-02,741.989990,745.119995,739.280029,745.020020,745.020020,259950000
1994-12-05,745.530029,747.809998,744.729980,745.710022,745.710022,247520000
1994-12-06,744.609985,745.250000,740.270020,741.229980,741.229980,286350000
1994-12-07,740.239990,740.239990,733.590027,734.270020,734.270020,272250000
1994-12-08,734.739990,735.690002,718.080017,719.119995,719.119995,331750000
1994-12-09,719.260010,719.419983,710.940002,719.049988,719.049988,334170000
1994-12-12,719.239990,720.989990,712.479980,719.119995,719.119995,260890000
1994-12-13,719.919983,720.609985,718.020020,719.489990,719.489990,263990000
1994-12-14,719.099976,725.669983,719.099976,725.669983,725.669983,328510000
1994-12-15,727.039978,730.700012,727.039978,730.679993,730.679993,342970000
1994-12-16,730.830017,732.020020,729.059998,729.070007,729.070007,321460000
1994-12-19,728.750000,729.159973,726.659973,727.890015,727.890015,280080000
1994-12-20,729.570007,730.729980,726.260010,728.510010,728.510010,325500000
1994-12-21,729.719971,737.130005,729.719971,737.119995,737.119995,349600000
1994-12-22,737.260010,739.520020,737.260010,739.340027,739.340027,358680000
1994-12-23,739.030029,743.169983,739.000000,742.190002,742.190002,216530000
1994-12-27,743.599976,746.200012,743.599976,746.190002,746.190002,229080000
1994-12-28,746.390015,746.549988,740.789978,742.460022,742.460022,261260000
1994-12-29,742.969971,749.669983,742.679993,749.530029,749.530029,290960000
1994-12-30,749.260010,751.979980,746.869995,751.960022,751.960022,332500000
1995-01-03,751.309998,751.309998,743.530029,743.580017,743.580017,248750000
1995-01-04,744.770020,746.419983,740.469971,745.840027,745.840027,290350000
1995-01-05,746.869995,748.500000,745.130005,745.659973,745.659973,297510000
1995-01-06,746.270020,750.729980,745.760010,749.690002,749.690002,312920000
1995-01-09,750.190002,752.840027,750.099976,752.090027,752.090027,267090000
1995-01-10,754.270020,759.219971,754.270020,756.520020,756.520020,353510000
1995-01-11,758.140015,760.049988,751.700012,755.739990,755.739990,329520000
1995-01-12,755.659973,757.049988,754.650024,756.510010,756.510010,302230000
1995-01-13,758.359985,762.320007,757.280029,762.159973,762.159973,313630000
1995-01-16,762.299988,769.130005,762.190002,768.159973,768.159973,301370000
1995-01-17,769.169983,772.159973,768.400024,772.140015,772.140015,337330000
1995-01-18,773.010010,774.309998,769.179993,772.380005,772.380005,348330000
1995-01-19,772.340027,772.340027,768.320007,768.549988,768.549988,331830000
1995-01-20,767.989990,768.119995,759.320007,762.049988,762.049988,342170000
1995-01-23,759.320007,759.580017,753.809998,759.510010,759.510010,276420000
1995-01-24,760.520020,763.330017,759.820007,763.200012,763.200012,298330000
1995-01-25,759.690002,763.340027,757.190002,760.979980,760.979980,313100000
1995-01-26,761.049988,762.320007,757.559998,757.559998,757.559998,295060000
1995-01-27,758.859985,760.419983,756.849976,758.909973,758.909973,309380000
1995-01-30,759.630005,760.570007,751.489990,751.830017,751.830017,259470000
1995-01-31,752.849976,755.799988,751.049988,755.200012,755.200012,301430000
1995-02-01,756.679993,762.330017,756.679993,758.309998,758.309998,309930000
1995-02-02,758.159973,763.659973,758.159973,763.640015,763.640015,294260000
1995-02-03,766.510010,773.940002,766.510010,772.059998,772.059998,379850000
1995-02-06,772.820007,779.109985,772.820007,778.849976,778.849976,298480000
1995-02-07,779.789978,780.929993,776.969971,778.969971,778.969971,320970000
1995-02-08,780.190002,784.030029,779.229980,783.770020,783.770020,349420000
1995-02-09,785.039978,787.890015,784.969971,785.440002,785.440002,381420000
1995-02-10,786.409973,790.820007,786.409973,790.429993,790.429993,359380000
1995-02-13,789.700012,792.090027,788.719971,789.419983,789.419983,300360000
1995-02-14,790.140015,791.500000,788.669983,790.619995,790.619995,345250000
1995-02-15,790.760010,795.630005,789.739990,795.630005,795.630005,382290000
1995-02-16,796.020020,796.020020,790.979980,793.309998,793.309998,343990000
1995-02-17,791.989990,791.989990,786.830017,786.969971,786.969971,294510000
1995-02-21,787.729980,788.250000,784.150024,784.619995,784.619995,272620000
1995-02-22,783.960022,788.260010,783.510010,787.929993,787.929993,302200000
1995-02-23,789.260010,794.500000,789.260010,791.349976,791.349976,356980000
